regulator	target	beta.sign.sum	prior
ZNF263	KLK3	20	1
ZNF263	SOX9	20	1
ZNF263	BMP4	20	1
ZNF263	CTCFL	20	1
STAT2	TNFSF13B	20	1
STAT2	PDGFRL	20	0
STAT2	HLA-F	20	1
STAT2	USP18	20	1
STAT2	HERC6	20	1
RELB	NFKB1	20	1
PROP1	LRG1	-20	0
VSX1	CTSB	-20	0
RELB	FUT4	20	0
STAT2	CFB	20	1
RELA	NFKB1	20	1
RELA	NFKBIA	20	1
STAT2	CXCL11	20	0
STAT2	B2M	20	1
IRF7	DTX3L	20	1
FOXO3	CYP7B1	20	1
RELA	SDC4	20	1
TERF2	CCL2	-20	0
TGIF2	CCND2	20	1
ZNF219	E2F3	20	1
ZNF263	ATP1A2	19	1
ZNF263	GRIN2A	19	1
ZNF263	NR2F2	19	1
NFKB1	NFKBIA	19	1
ZNF263	CGM3	19	1
STAT2	SLC25A28	19	0
STAT2	C9orf91	19	1
STAT2	PLSCR1	19	1
STAT2	UBE2L6	19	1
STAT2	OPTN	19	0
STAT2	OAS2	19	1
STAT2	ISG20	19	1
STAT2	IFI35	19	1
PLAGL1	GAK	19	1
STAT2	IL15RA	19	1
RELB	IRF1	19	1
STAT2	GTPBP1	19	1
NFKB1	BCL2A1	19	0
STAT2	RSAD2	19	1
IRF9	IRF1	19	0
STAT2	ADAR	19	1
STAT2	TRIM21	19	1
MAFG	MAFB	19	0
STAT2	SCARB2	19	1
YY2	AQP4	-19	0
STAT2	CCL5	19	1
EBF1	PLCD1	19	1
FOXO1	USP18	-19	1
IRF9	GBP3	19	0
REL	LTA	19	0
ZBTB33	F8	19	1
CTCFL	IDOL_M	19	1
ZNF263	NR1I2	18	1
ZNF263	NOS1	18	1
ZNF263	PTHLH	18	1
STAT2	OAS1	18	1
STAT2	OASL	18	1
MSC	DYNLT1	-18	0
STAT2	AIM2	18	1
STAT2	MX2	18	1
STAT2	LGALS9	18	1
IRF7	DYNLT1	18	0
YY2	NCAM	-18	0
ZNF263	WT1	18	1
STAT2	IFI44	18	1
STAT2	CHMP5	18	1
RELB	MCOLN2	18	1
STAT2	IFIT1	18	1
STAT2	HSH2D	18	1
STAT2	IFIT2	18	0
STAT2	GTPBP2	18	1
THAP1	RELB	18	1
STAT2	TNFSF10	18	1
JUN	GTPBP1	18	1
HOXB3	SNN	-18	0
RELB	CXCL9	18	0
HOXB3	FTH1	-18	0
YY1	C1S	-18	1
RXRA	NR4A1	18	1
TP73	THRA	18	1
STAT2	MICB	18	0
RELB	CD38	18	0
NFATC1	IRF3	-18	1
MSC	IFI44L	-18	0
NR3C1	IMPA2	18	1
MAFG	B4GALT5	-18	0
KLF16	BRCA2	18	1
RFX2	CPT1A	-18	1
IRF5	S100A10	18	0
NFKB1	TNIP3	18	1
SPI1	S100A8	18	1
YBX1	INSIG1	18	1
RELA	IL6ST	18	1
GLI3	IL8RB	18	1
NFYB	FTH1	-18	1
PAX8	CCL17	18	1
TFAP4	AHCTF1	-18	1
MZF1	MIR146A	18	1
AHR	C4orf32	18	1
SREBF1	PPARA	18	1
ZNF263	EGFR	17	1
ZNF263	HNF4A	17	1
ZNF263	PLA2G2A	17	0
PLAGL1	ESRRA	17	0
STAT2	GBP4	17	0
STAT2	LAP3	17	1
IRF7	PHF11	17	1
PROP1	IL15RA	-17	0
IRF1	WARS	17	1
STAT2	HESX1	17	0
STAT2	NT5C3	17	0
TFAP2D	MCL1	17	1
IRF7	MB21D1	17	0
THAP1	PIM3	17	0
RELB	WARS	17	1
STAT2	ZBP1	17	1
STAT2	IFIT3	17	1
PROP1	IDO1	-17	0
PROP1	TRAFD1	-17	0
STAT2	SERPING1	17	1
RELA	TRAF1	17	1
RELA	TNFAIP3	17	1
RXRA	TRAF2	17	1
THAP1	RELA	17	1
IRF7	PSME1	17	1
STAT2	IDO1	17	0
MAFG	IFNGR1	17	0
HOXB3	MARCKS	-17	0
STAT2	PNPT1	17	1
YY1	C3	-17	1
HOXB3	NFKB2	-17	0
STAT5A	LMO2	17	1
THAP1	BCL3	17	1
IRF1	CD38	17	1
STAT5A	GCA	17	1
IRF5	IRF2	17	1
MSC	PSME1	-17	0
KLF6	HAS1	-17	1
RFX6	COMMD3	-17	0
GATA6	CCL22	17	1
STAT2	HLA-B	17	1
IRF1	REV3L	-17	1
ETV7	PIK3AP1	17	1
TERF2	C15orf48	-17	0
AHR	MX1	17	1
ETV4	IL9	-17	0
CEBPE	EIF3L	17	0
REL	CXCL2	17	1
NEUROD1	ZNF313	-17	1
ZNF740	XIAP	17	1
HOXA2	PPP5C	-17	0
IRF2	XAF1	17	1
KLF5	DDX3X	17	1
ZFY	GUCY1A2	-16	1
IRF9	DUSP5	16	0
IRF9	BLVRA	16	1
