regulator	target	beta.sign.sum	prior	ens_tf	ens_target
NOBOX	ENSG00000276259	302.31059058016604	1	ENSG00000106410	ENSG00000276259
NOBOX	BNIP3P25	211.139472452706	1	ENSG00000106410	ENSG00000268322
NOBOX	PROK2	388.09838435616598	1	ENSG00000106410	ENSG00000163421
NOBOX	LAYN	994.16623669863998	1	ENSG00000106410	ENSG00000204381
ETS1	MAST2	216.13594956707803	1	ENSG00000134954	ENSG00000086015
ETS1	TOB2	-218.80568414331299	1	ENSG00000134954	ENSG00000183864
ETS1	ATP5G2P3	327.45059656427003	1	ENSG00000134954	ENSG00000230482
ETS1	MBTPS2	540.23246765229305	1	ENSG00000134954	ENSG00000012174
ETS1	ZNF815P	254.794659589861	1	ENSG00000134954	ENSG00000235944
ETS1	LINC00976	1101.9021801193699	1	ENSG00000134954	ENSG00000281657
ETS1	STAC	443.61513238825501	1	ENSG00000134954	ENSG00000144681
ETS1	ENSG00000274114	999.54848118932102	1	ENSG00000134954	ENSG00000274114
ETS1	TBC1D10C	422.52741189249298	1	ENSG00000134954	ENSG00000175463
ETS1	IPMK	486.89597418221899	1	ENSG00000134954	ENSG00000151151
ETS1	RARSP1	-249.74603659929699	1	ENSG00000134954	ENSG00000257037
ETS1	NFKBID	-354.065808428411	1	ENSG00000134954	ENSG00000167604
ETS1	SCRT2	1245.5455008287099	1	ENSG00000134954	ENSG00000215397
ETS1	GTF3A	79.768743400318797	1	ENSG00000134954	ENSG00000122034
ETS1	ENSG00000280211	-455.560163242199	1	ENSG00000134954	ENSG00000280211
ETS1	BDKRB2	1135.4781917668902	1	ENSG00000134954	ENSG00000168398
ETS1	ENSG00000228086	-194.164020371617	1	ENSG00000134954	ENSG00000228086
ETS1	ST6GALNAC4	1344.4872427556099	1	ENSG00000134954	ENSG00000136840
ETS1	PAQR4	941.0861168654809	1	ENSG00000134954	ENSG00000162073
ETS1	ZNF772	1027.7475522467601	1	ENSG00000134954	ENSG00000197128
ETS1	LIAS	601.26962723535598	1	ENSG00000134954	ENSG00000121897
ETS1	CNOT6	477.32663980600097	1	ENSG00000134954	ENSG00000113300
ETS1	ZNF416	498.36848789771301	1	ENSG00000134954	ENSG00000083817
ETS1	ZFP14	724.66586876666111	1	ENSG00000134954	ENSG00000142065
ETS1	TIMMDC1	-788.45025929036808	1	ENSG00000134954	ENSG00000113845
ETS1	SLC1A5	258.81070835304797	1	ENSG00000134954	ENSG00000105281
ETS1	SH3PXD2B	1145.4012227578401	1	ENSG00000134954	ENSG00000174705
ETS1	CASP3	-326.42840301927203	1	ENSG00000134954	ENSG00000164305
ETS1	RNA5SP259	744.86978001294597	1	ENSG00000134954	ENSG00000202411
ETS1	ENSG00000227910	203.07179129435599	1	ENSG00000134954	ENSG00000227910
ETS1	TOMM40	1188.1010078617301	1	ENSG00000134954	ENSG00000130204
ETS1	ZNF223	668.00769030369008	1	ENSG00000134954	ENSG00000178386
ETS1	FAM200B	529.79651787484806	1	ENSG00000134954	ENSG00000237765
ETS1	TIGD7	438.11976737134	1	ENSG00000134954	ENSG00000140993
ETS1	CLEC4A	459.79562130839997	1	ENSG00000134954	ENSG00000111729
ETS1	SHMT2	1053.1919222458	1	ENSG00000134954	ENSG00000182199
ETS1	ENSG00000186244	142.35568328177899	1	ENSG00000134954	ENSG00000186244
ETS1	MGEA5	-198.275001136339	1	ENSG00000134954	ENSG00000198408
ETS1	LINC00339	450.28023002519097	1	ENSG00000134954	ENSG00000218510
ETS1	VPS11	210.82874538784401	1	ENSG00000134954	ENSG00000160695
ETS1	ENSG00000254952	331.45781137874803	1	ENSG00000134954	ENSG00000254952
ETS1	WDR92	418.49684527966002	1	ENSG00000134954	ENSG00000243667
ETS1	RRS1	251.69373849933498	1	ENSG00000134954	ENSG00000179041
ETS1	ERVH48-1	1258.54005609755	1	ENSG00000134954	ENSG00000233056
ETS1	SLC25A38	520.65511431070797	1	ENSG00000134954	ENSG00000144659
ETS1	CST6	1951.2376210672799	1	ENSG00000134954	ENSG00000175315
ETS1	ZNF551	1384.2205999872101	1	ENSG00000134954	ENSG00000204519
ETS1	RN7SL187P	952.04579092359609	1	ENSG00000134954	ENSG00000240299
ETS1	ENSG00000275665	-85.311622710976195	1	ENSG00000134954	ENSG00000275665
ETS1	CECR5	289.014854428452	1	ENSG00000134954	ENSG00000069998
ETS1	USP31	363.71652046033597	1	ENSG00000134954	ENSG00000103404
ETS1	OR52P1P	-151.25849949572699	1	ENSG00000134954	ENSG00000181109
ETS1	BAIAP2-AS1	473.86356483420701	1	ENSG00000134954	ENSG00000226137
ETS1	ZKSCAN4	632.935614826402	1	ENSG00000134954	ENSG00000187626
ETS1	P2RY1	109.310549915122	1	ENSG00000134954	ENSG00000169860
ETS1	AP2M1	298.49793534707999	1	ENSG00000134954	ENSG00000161203
ETS1	CECR2	2439.7994981253501	1	ENSG00000134954	ENSG00000099954
ETS1	ENSG00000234393	-380.65577525376898	1	ENSG00000134954	ENSG00000234393
ETS1	RGL2	870.28984715334002	1	ENSG00000134954	ENSG00000237441
ETS1	UBTD1	661.55572493680904	1	ENSG00000134954	ENSG00000165886
ETS1	H6PD	-306.24206376135299	1	ENSG00000134954	ENSG00000049239
ETS1	ZNF527	614.37791988820095	1	ENSG00000134954	ENSG00000189164
ETS1	BYSL	635.83225803746802	1	ENSG00000134954	ENSG00000112578
ETS1	PTPN1	-410.08027703567706	1	ENSG00000134954	ENSG00000196396
ETS1	TRA2A	-339.69432925188801	1	ENSG00000134954	ENSG00000164548
ETS1	ITGB2-AS1	275.54900652720602	1	ENSG00000134954	ENSG00000227039
ETS1	CELF2-AS1	-210.27462158180901	1	ENSG00000134954	ENSG00000181800
ETS1	ENSG00000238045	-649.87169043955305	1	ENSG00000134954	ENSG00000238045
ETS1	ENSG00000251332	-490.01149801274499	1	ENSG00000134954	ENSG00000251332
ETS1	ZNF571	1152.53696964645	1	ENSG00000134954	ENSG00000180479
ETS1	BLNK	944.42665304810589	1	ENSG00000134954	ENSG00000095585
ETS1	HSF5	-75.515228554403905	1	ENSG00000134954	ENSG00000176160
ETS1	DUSP7	1853.4844572463601	1	ENSG00000134954	ENSG00000164086
ETS1	MRPL12	1075.5934979014	1	ENSG00000134954	ENSG00000262814
ETS1	ENSG00000273329	1107.3416148802301	1	ENSG00000134954	ENSG00000273329
ETS1	TMEM70	1289.1589312253	1	ENSG00000134954	ENSG00000175606
ETS1	ENSG00000273812	321.83980422801898	1	ENSG00000134954	ENSG00000273812
ETS1	ENSG00000281115	127.583685336602	1	ENSG00000134954	ENSG00000281115
ETS1	CDC14A	-486.55928678262399	1	ENSG00000134954	ENSG00000079335
ETS1	SAR1A	-86.471717154386496	1	ENSG00000134954	ENSG00000079332
ETS1	CD3EAP	526.541178739222	1	ENSG00000134954	ENSG00000117877
ETS1	NUDT19P5	295.73752992209302	1	ENSG00000134954	ENSG00000251073
ETS1	ENSG00000227374	55.877511245143396	1	ENSG00000134954	ENSG00000227374
ETS1	ENSG00000251417	199.18855856860199	1	ENSG00000134954	ENSG00000251417
ETS1	ENSG00000276533	-628.651309191839	1	ENSG00000134954	ENSG00000276533
ETS1	ARV1	600.58943713404403	1	ENSG00000134954	ENSG00000173409
ETS1	ZNF358	376.78810841411695	1	ENSG00000134954	ENSG00000198816
ETS1	SUOX	74.202359150087005	1	ENSG00000134954	ENSG00000139531
ETS1	ZNF418	975.39682283830393	1	ENSG00000134954	ENSG00000196724
ETS1	ENSG00000279369	319.173451846403	1	ENSG00000134954	ENSG00000279369
ETS1	ZNF623	461.42339252691499	1	ENSG00000134954	ENSG00000183309
ETS1	ZNF354C	493.81156664254303	1	ENSG00000134954	ENSG00000177932
ETS1	ZMYM3	1233.71824545802	1	ENSG00000134954	ENSG00000147130
ETS1	ENSG00000250132	500.65402673764703	1	ENSG00000134954	ENSG00000250132
ETS1	USP30	638.30091682410693	1	ENSG00000134954	ENSG00000135093
ETS1	ZFP3	595.81766063438306	1	ENSG00000134954	ENSG00000180787
ETS1	ZNF284	653.37430456012999	1	ENSG00000134954	ENSG00000186026
ETS1	ENSG00000217231	-167.59686191986799	1	ENSG00000134954	ENSG00000217231
ETS1	TLR6	1318.7092945669199	1	ENSG00000134954	ENSG00000174130
ETS1	FAM185A	439.586245383554	1	ENSG00000134954	ENSG00000222011
ETS1	SLF2	218.437671503134	1	ENSG00000134954	ENSG00000119906
ETS1	LINC00493	211.51679014611199	1	ENSG00000134954	ENSG00000232388
ETS1	A4GNT	1089.93461073509	1	ENSG00000134954	ENSG00000118017
ETS1	MIR620	-308.71119021446299	1	ENSG00000134954	ENSG00000207967
ETS1	RNU6-1262P	29.923722354999601	1	ENSG00000134954	ENSG00000252026
ETS1	ENSG00000256733	-122.932017344743	1	ENSG00000134954	ENSG00000256733
ETS1	FDPS	-254.09214824840001	1	ENSG00000134954	ENSG00000160752
ETS1	MRPL19	317.76376688331698	1	ENSG00000134954	ENSG00000115364
ETS1	ZNF234	248.04917946049301	1	ENSG00000134954	ENSG00000263002
ETS1	PPP2R1B	-722.97196111471806	1	ENSG00000134954	ENSG00000137713
ETS1	ENSG00000268583	113.880072161866	1	ENSG00000134954	ENSG00000268583
ETS1	SIGLEC18P	713.49403827403103	1	ENSG00000134954	ENSG00000268581
ETS1	ENSG00000272137	-93.191562726335292	1	ENSG00000134954	ENSG00000272137
ETS1	RN7SKP206	208.33512571018503	0	ENSG00000134954	ENSG00000222755
ETS1	ZNF461	132.23291690469298	1	ENSG00000134954	ENSG00000197808
ETS1	NDUFV1	23.229251922130604	1	ENSG00000134954	ENSG00000167792
ETS1	TAF5L	-383.94790717322303	1	ENSG00000134954	ENSG00000135801
ETS1	MPHOSPH9	550.44530626664903	1	ENSG00000134954	ENSG00000051825
ETS1	ZBTB43	-807.38898880763395	1	ENSG00000134954	ENSG00000169155
ETS1	GADD45G	724.13157727668499	1	ENSG00000134954	ENSG00000130222
ETS1	ENSG00000248340	361.48674704837703	1	ENSG00000134954	ENSG00000248340
ETS1	ENSG00000173088	529.94714914615304	1	ENSG00000134954	ENSG00000173088
ETS1	CSRNP2	-232.72926657348702	1	ENSG00000134954	ENSG00000110925
ETS1	ENSG00000251273	742.0940475822141	1	ENSG00000134954	ENSG00000251273
ETS1	IER5L	726.93927155299195	1	ENSG00000134954	ENSG00000188483
ETS1	OAZ2	502.33674912295896	1	ENSG00000134954	ENSG00000180304
ETS1	ENSG00000255624	-112.263960225427	1	ENSG00000134954	ENSG00000255624
ETS1	MECP2	-80.431325989156704	1	ENSG00000134954	ENSG00000169057
ETS1	NDUFS3	165.86983786231301	1	ENSG00000134954	ENSG00000213619
ETS1	SUFU	720.00561254722106	1	ENSG00000134954	ENSG00000107882
ETS1	ISYNA1	599.49924069229303	1	ENSG00000134954	ENSG00000105655
ETS1	TRIM32	367.08392115522599	1	ENSG00000134954	ENSG00000119401
ETS1	ENSG00000272568	374.42172021688901	1	ENSG00000134954	ENSG00000272568
ETS1	PPP1R14B	138.754464308396	1	ENSG00000134954	ENSG00000173457
ETS1	ENSG00000271857	-483.28561968530698	1	ENSG00000134954	ENSG00000271857
ETS1	FAM65C	-645.66986593763204	1	ENSG00000134954	ENSG00000042062
ETS1	RNF166	1026.0352770212501	1	ENSG00000134954	ENSG00000158717
ETS1	PIK3R6	781.01094659618195	1	ENSG00000134954	ENSG00000276231
ETS1	ENSG00000248851	564.33730909869496	1	ENSG00000134954	ENSG00000248851
ETS1	DDX41	288.16002499631099	1	ENSG00000134954	ENSG00000183258
ETS1	CYB5R1	952.96011097521102	1	ENSG00000134954	ENSG00000159348
ETS1	NFATC2IP	-366.125419880744	1	ENSG00000134954	ENSG00000176953
ETS1	ENSG00000231663	499.33454728264701	1	ENSG00000134954	ENSG00000231663
ETS1	ZNF404	624.00758628886194	1	ENSG00000134954	ENSG00000176222
ETS1	C20orf197	501.67357661226504	1	ENSG00000134954	ENSG00000176659
ETS1	SUMO2	-46.204186551363705	1	ENSG00000134954	ENSG00000188612
ETS1	INIP	273.83537211122501	1	ENSG00000134954	ENSG00000148153
ETS1	COMMD5	169.666349210384	1	ENSG00000134954	ENSG00000170619
ETS1	KCTD14	-348.56562748137702	1	ENSG00000134954	ENSG00000151364
ETS1	FOXD2-AS1	309.16623254739301	1	ENSG00000134954	ENSG00000237424
ETS1	ENSG00000255136	704.99289253709003	1	ENSG00000134954	ENSG00000255136
ETS1	ENSG00000255135	137.87984790977399	1	ENSG00000134954	ENSG00000255135
ETS1	EXOSC4	827.76946897017808	1	ENSG00000134954	ENSG00000178896
ETS1	MRPL34	337.72501809007002	1	ENSG00000134954	ENSG00000130312
ETS1	ACAT1	28.747669225246803	1	ENSG00000134954	ENSG00000075239
ETS1	KIAA1161	3043.2331987610805	1	ENSG00000134954	ENSG00000164976
ETS1	ZBTB6	321.403626793461	1	ENSG00000134954	ENSG00000186130
ETS1	ENSG00000278464	574.53525865169297	1	ENSG00000134954	ENSG00000278464
ETS1	CDK5	998.72213534333298	1	ENSG00000134954	ENSG00000164885
ETS1	BIVM	293.545624412103	1	ENSG00000134954	ENSG00000134897
ETS1	PRPS1	73.131529773668305	1	ENSG00000134954	ENSG00000147224
ETS1	FAM109A	707.67946186033907	1	ENSG00000134954	ENSG00000198324
ETS1	HERC2P2	69.083541166193598	1	ENSG00000134954	ENSG00000276550
ETS1	ZNF2	709.38443697587797	1	ENSG00000134954	ENSG00000275111
ETS1	ENSG00000272662	-56.237823710904799	1	ENSG00000134954	ENSG00000272662
ETS1	RGN	-360.68075067965299	1	ENSG00000134954	ENSG00000130988
ETS1	FHOD1	1036.0165757674699	1	ENSG00000134954	ENSG00000135723
