regulator	target	beta.sign.sum	prior	ens_tf	ens_target
ETS1	ZNF32	768.00960006328398	1	ENSG00000134954	ENSG00000169740
ETS1	CCT3	1497.6888225588098	1	ENSG00000134954	ENSG00000163468
ETS1	ENSG00000245293	-671.90210519360608	1	ENSG00000134954	ENSG00000245293
ETS1	EIF4A3	708.99323540193996	1	ENSG00000134954	ENSG00000141543
ETS1	MOCS3	1675.2292407797399	1	ENSG00000134954	ENSG00000124217
ETS1	TTLL4	1161.2043527667199	1	ENSG00000134954	ENSG00000135912
ETS1	PEX3	1592.0678990566598	1	ENSG00000134954	ENSG00000034693
ETS1	ATP5G2P3	648.19013528627897	1	ENSG00000134954	ENSG00000230482
ETS1	ENSG00000271780	762.16822794805603	1	ENSG00000134954	ENSG00000271780
ETS1	ENSG00000272787	540.76233605573805	1	ENSG00000134954	ENSG00000272787
ETS1	L3MBTL2	912.65930657838101	1	ENSG00000134954	ENSG00000100395
ETS1	TRIM68	857.16322746907497	1	ENSG00000134954	ENSG00000167333
ETS1	GLTSCR1-AS1	489.86638011395797	1	ENSG00000134954	ENSG00000269806
ETS1	ZNF627	1790.1494545978699	1	ENSG00000134954	ENSG00000198551
ETS1	YBEY	558.82845818886494	1	ENSG00000134954	ENSG00000182362
ETS1	ENSG00000259257	290.58062250668598	1	ENSG00000134954	ENSG00000259257
ETS1	KRCC1	1935.1626140284698	1	ENSG00000134954	ENSG00000172086
ETS1	TSPAN4	3198.60981916627	1	ENSG00000134954	ENSG00000214063
ETS1	ENSG00000258056	637.03325485057803	1	ENSG00000134954	ENSG00000258056
ETS1	ZNF772	1320.6439159005499	1	ENSG00000134954	ENSG00000197128
ETS1	LIAS	1509.67997518983	1	ENSG00000134954	ENSG00000121897
ETS1	ENSG00000269737	435.15206297155294	1	ENSG00000134954	ENSG00000269737
ETS1	ENSG00000259999	178.61737816426398	1	ENSG00000134954	ENSG00000259999
ETS1	ZNF777	1356.2984719787901	1	ENSG00000134954	ENSG00000196453
ETS1	ENSG00000254459	382.24254449717904	1	ENSG00000134954	ENSG00000254459
ETS1	ENSG00000241981	496.98689083590796	1	ENSG00000134954	ENSG00000241981
ETS1	HSPA8P15	1417.4885805490699	1	ENSG00000134954	ENSG00000219395
ETS1	NSL1	111.88175803531901	1	ENSG00000134954	ENSG00000117697
ETS1	BLZF2P	-1654.1320000384101	1	ENSG00000134954	ENSG00000258565
ETS1	PRIMPOL	1235.63853791733	1	ENSG00000134954	ENSG00000164306
ETS1	TATDN3	370.75270545117399	1	ENSG00000134954	ENSG00000203705
ETS1	TIGD7	663.19618277780603	1	ENSG00000134954	ENSG00000140993
ETS1	LINC00339	1684.0251823352201	1	ENSG00000134954	ENSG00000218510
ETS1	VPS11	673.32329555697697	1	ENSG00000134954	ENSG00000160695
ETS1	ENSG00000254952	403.366482853994	1	ENSG00000134954	ENSG00000254952
ETS1	RNA5SP435	539.00737991296205	1	ENSG00000134954	ENSG00000200914
ETS1	C2orf42	634.94221473959999	1	ENSG00000134954	ENSG00000115998
ETS1	TSPYL5	2041.0701603673699	1	ENSG00000134954	ENSG00000180543
ETS1	ORC5	724.64076839733309	1	ENSG00000134954	ENSG00000164815
ETS1	ZMYND8	763.89166964175092	1	ENSG00000134954	ENSG00000101040
ETS1	NUTM2A	128.77427285784901	1	ENSG00000134954	ENSG00000184923
ETS1	ZNF551	1367.7758921398199	1	ENSG00000134954	ENSG00000204519
ETS1	EHD1	-1118.35681113392	1	ENSG00000134954	ENSG00000110047
ETS1	BBS10	2247.1405112983398	1	ENSG00000134954	ENSG00000179941
ETS1	CECR5	1526.0649421560902	1	ENSG00000134954	ENSG00000069998
ETS1	TMEM11	1273.47894649769	1	ENSG00000134954	ENSG00000178307
ETS1	MIR221	-796.01679032839604	1	ENSG00000134954	ENSG00000207870
ETS1	TUSC2	1910.08274663682	1	ENSG00000134954	ENSG00000114383
ETS1	MIR3173	211.80660406133302	1	ENSG00000134954	ENSG00000264607
ETS1	USP31	1037.0591551462501	1	ENSG00000134954	ENSG00000103404
ETS1	ZKSCAN4	544.22540195797797	1	ENSG00000134954	ENSG00000187626
ETS1	H2AFJ	1371.5108509946401	1	ENSG00000134954	ENSG00000246705
ETS1	C6orf120	388.63315268496598	1	ENSG00000134954	ENSG00000185127
ETS1	IGBP1P1	75.745757919209197	1	ENSG00000134954	ENSG00000226677
ETS1	CTSL	1493.63860921162	1	ENSG00000134954	ENSG00000135047
ETS1	ENSG00000218757	792.86066545537699	1	ENSG00000134954	ENSG00000218757
ETS1	TRIM3	1157.8284415089199	1	ENSG00000134954	ENSG00000110171
ETS1	ACSS1	690.15633850690313	1	ENSG00000134954	ENSG00000154930
ETS1	FUNDC1	1252.9812331998901	1	ENSG00000134954	ENSG00000069509
ETS1	BACH1-AS1	1212.60017240254	1	ENSG00000134954	ENSG00000232118
ETS1	CYB561D2	1280.68836995432	1	ENSG00000134954	ENSG00000114395
ETS1	SSSCA1-AS1	1486.2011812431199	1	ENSG00000134954	ENSG00000260233
ETS1	POLR3K	1013.5589208276199	1	ENSG00000134954	ENSG00000161980
ETS1	ENSG00000271751	289.69236191907299	1	ENSG00000134954	ENSG00000271751
