regulator	target	beta.sign.sum	prior	ens_tf	ens_target
ETS1	GNRH2	-64.538873782954596	1	ENSG00000134954	ENSG00000125787
ETS1	MYOZ1	-203.30755730044498	1	ENSG00000134954	ENSG00000177791
ETS1	TFPI2	-327.33116745313799	1	ENSG00000134954	ENSG00000105825
LEF1	C4BPA	126.60252408444599	1	ENSG00000138795	ENSG00000123838
NFAT5	CASP4	-777.95448586319105	1	ENSG00000102908	ENSG00000196954
NFAT5	CCR5	-600.21420412545604	1	ENSG00000102908	ENSG00000160791
FEV	CLEC2B	630.07116217823307	1	ENSG00000163497	ENSG00000110852
FEV	PYCARD	175.173692684277	1	ENSG00000163497	ENSG00000103490
LHX9	CXCL9	773.109200289912	1	ENSG00000143355	ENSG00000138755
POU2F1	ESRRA	-264.48419822040296	1	ENSG00000143190	ENSG00000173153
POU2F1	ANGPTL1	263.58896783076102	1	ENSG00000143190	ENSG00000116194
POU2F1	GNAI2	-83.899800976331093	1	ENSG00000143190	ENSG00000114353
BHLHE41	INSIG1	62.960167307535002	1	ENSG00000123095	ENSG00000186480
BHLHE41	CPT1A	319.42228457470202	1	ENSG00000123095	ENSG00000110090
EHF	CLEC4D	186.73839553145001	1	ENSG00000135373	ENSG00000166527
EHF	EGR1	-400.44881144361398	1	ENSG00000135373	ENSG00000120738
MAFA	RARA	440.19194920278102	1	ENSG00000182759	ENSG00000131759
MAFA	AHCTF1	-421.53120386529503	1	ENSG00000182759	ENSG00000153207
MAFA	CCR5	603.83860443187405	1	ENSG00000182759	ENSG00000160791
MAFA	EGR1	1004.23611447854	1	ENSG00000182759	ENSG00000120738
MAFA	IMPA2	1119.4481990745201	1	ENSG00000182759	ENSG00000141401
MAFA	LMO2	1131.4522030875698	1	ENSG00000182759	ENSG00000135363
ELF5	TIFA	244.93161278105302	1	ENSG00000135374	ENSG00000145365
SP5	AQP4	-156.609559918955	1	ENSG00000204335	ENSG00000171885
SP5	CR2	-122.39994702957199	1	ENSG00000204335	ENSG00000117322
SP5	CYP19A1	-58.027266610298099	1	ENSG00000204335	ENSG00000137869
SP5	PTHLH	-265.662191529886	1	ENSG00000204335	ENSG00000087494
SP5	SERPINE2	-90.696783343993303	1	ENSG00000204335	ENSG00000135919
MEIS1	IRF5	-229.6891096837	1	ENSG00000143995	ENSG00000128604
MEIS1	RARB	481.95969386806604	1	ENSG00000143995	ENSG00000077092
MEIS1	FN1	-292.73551959901198	1	ENSG00000143995	ENSG00000115414
MEIS1	HK2	-139.621753067388	1	ENSG00000143995	ENSG00000159399
MEIS1	TMEM51	-105.80171408523199	1	ENSG00000143995	ENSG00000171729
CTCF	PLA2G2A	367.36626609815102	1	ENSG00000102974	ENSG00000188257
CTCF	RXRG	66.122365804200598	1	ENSG00000102974	ENSG00000143171
CTCF	IRF6	65.435200992279704	1	ENSG00000102974	ENSG00000117595
CTCF	RORC	65.395126462703203	1	ENSG00000102974	ENSG00000143365
CTCF	NR1H4	43.814770757245292	1	ENSG00000102974	ENSG00000012504
CTCF	NR1I2	108.52231448695801	1	ENSG00000102974	ENSG00000144852
CTCF	HNF4A	43.679680106547202	1	ENSG00000102974	ENSG00000101076
CTCF	NR2F1	34.906384071627002	1	ENSG00000102974	ENSG00000175745
CTCF	NR2F2	29.248647402460399	1	ENSG00000102974	ENSG00000185551
CTCF	ESR2	24.2267903838097	1	ENSG00000102974	ENSG00000140009
CTCF	ESRRG	14.9733903152429	1	ENSG00000102974	ENSG00000196482
CTCF	AR	20.837322337248999	1	ENSG00000102974	ENSG00000169083
CTCF	NR5A1	44.277816920937703	1	ENSG00000102974	ENSG00000136931
CTCF	ABCG8	132.329072946292	1	ENSG00000102974	ENSG00000143921
CTCF	AFP	180.73345413650199	1	ENSG00000102974	ENSG00000081051
CTCF	AICDA	52.555008063318006	1	ENSG00000102974	ENSG00000111732
CTCF	ANGPT1	29.588615588609699	1	ENSG00000102974	ENSG00000154188
CTCF	BDKRB1	51.644924121851901	1	ENSG00000102974	ENSG00000100739
CTCF	BDNF	39.291650620075004	1	ENSG00000102974	ENSG00000176697
CTCF	BGN	36.654376318898002	1	ENSG00000102974	ENSG00000182492
CTCF	BMP4	47.630189764819498	1	ENSG00000102974	ENSG00000125378
CTCF	CD3G	44.399293556070397	1	ENSG00000102974	ENSG00000160654
CTCF	CLDN2	56.376279792878201	1	ENSG00000102974	ENSG00000165376
CTCF	COL1A2	12.6868528344956	1	ENSG00000102974	ENSG00000164692
CTCF	CR2	184.26550239961898	1	ENSG00000102974	ENSG00000117322
CTCF	CTCFL	48.477322689238704	1	ENSG00000102974	ENSG00000124092
CTCF	CYP19A1	18.868186986872601	1	ENSG00000102974	ENSG00000137869
CTCF	CYP2E1	53.763948933073905	1	ENSG00000102974	ENSG00000130649
CTCF	DIO2	44.650347115146999	1	ENSG00000102974	ENSG00000211448
CTCF	EGFR	27.494434919749498	1	ENSG00000102974	ENSG00000146648
CTCF	ELF3	205.94831788926899	1	ENSG00000102974	ENSG00000163435
CTCF	ENPP1	45.578352488473499	1	ENSG00000102974	ENSG00000197594
CTCF	FABP6	73.133163817818698	1	ENSG00000102974	ENSG00000170231
CTCF	FGF8	35.3206722061704	1	ENSG00000102974	ENSG00000107831
CTCF	GAD1	23.071280896287497	1	ENSG00000102974	ENSG00000128683
CTCF	GRIN2A	53.610437877363999	1	ENSG00000102974	ENSG00000183454
CTCF	GRM2	76.905372424843094	1	ENSG00000102974	ENSG00000164082
CTCF	GUCY1A2	98.545407181481494	1	ENSG00000102974	ENSG00000152402
CTCF	HBE1	40.500271076104902	1	ENSG00000102974	ENSG00000213931
CTCF	HOXA9	85.275849284813091	1	ENSG00000102974	ENSG00000078399
CTCF	IL11	29.819458486279601	1	ENSG00000102974	ENSG00000095752
CTCF	KCNN2	44.820902866743708	1	ENSG00000102974	ENSG00000080709
CTCF	LBP	29.572282003781599	1	ENSG00000102974	ENSG00000129988
CTCF	NOS1	28.267153335123801	1	ENSG00000102974	ENSG00000089250
CTCF	NPY1R	53.057734972491204	1	ENSG00000102974	ENSG00000164128
CTCF	OPRM1	22.392207539203699	1	ENSG00000102974	ENSG00000112038
CTCF	PIGR	92.4150524657136	1	ENSG00000102974	ENSG00000162896
CTCF	PTGES	6.2159285086231399	1	ENSG00000102974	ENSG00000148344
CTCF	PTHLH	75.893130427890199	1	ENSG00000102974	ENSG00000087494
CTCF	RAG2	125.083655640026	1	ENSG00000102974	ENSG00000175097
CTCF	SELE	113.64027187001101	1	ENSG00000102974	ENSG00000007908
CTCF	SELP	144.982335722784	1	ENSG00000102974	ENSG00000174175
CTCF	SERPINE2	53.164245404048799	1	ENSG00000102974	ENSG00000135919
CTCF	SLC1A1	35.332152730578798	1	ENSG00000102974	ENSG00000106688
CTCF	SOX9	166.28839173723901	1	ENSG00000102974	ENSG00000125398
CTCF	TBX3	39.511510526724599	1	ENSG00000102974	ENSG00000135111
CTCF	TERT	54.687560829617205	1	ENSG00000102974	ENSG00000164362
CTCF	TLR9	34.731409881255303	1	ENSG00000102974	ENSG00000239732
CTCF	UPP2	24.790857549448798	1	ENSG00000102974	ENSG00000007001
CTCF	WT1	13.331985477566901	1	ENSG00000102974	ENSG00000184937
CTCF	XDH	47.128581001527998	1	ENSG00000102974	ENSG00000158125
RARA	BAG1	199.60597499336004	1	ENSG00000131759	ENSG00000107262
RXRB	HGF	-696.19239317808103	1	ENSG00000204231	ENSG00000019991
IRF1	TRIM38	170.66695855791701	1	ENSG00000125347	ENSG00000112343
HOXA3	SAMHD1	-282.09297797109298	1	ENSG00000105997	ENSG00000101347
THAP1	NFKBIB	631.86497955774007	1	ENSG00000131931	ENSG00000104825
THAP1	BCL3	276.92049918310801	1	ENSG00000131931	ENSG00000069399
THAP1	FTH1	574.95732383364304	1	ENSG00000131931	ENSG00000167996
THAP1	SOCS1	617.259335604733	1	ENSG00000131931	ENSG00000185338
THAP1	TIMP1	382.07081208934801	1	ENSG00000131931	ENSG00000102265
THAP1	UBE2M	572.468064284398	1	ENSG00000131931	ENSG00000130725
ZSCAN4	PRL	242.39100331634299	1	ENSG00000180532	ENSG00000172179
POU3F2	ALOX5	-40.575439298244902	1	ENSG00000184486	ENSG00000012779
POU3F2	HGF	169.36525245561799	1	ENSG00000184486	ENSG00000019991
POU3F2	LIPG	268.337054714359	1	ENSG00000184486	ENSG00000101670
POU3F2	MYB	695.425589745666	1	ENSG00000184486	ENSG00000118513
POU3F2	MYC	-225.56737384012101	1	ENSG00000184486	ENSG00000136997
POU3F2	NDC80	360.344815640467	1	ENSG00000184486	ENSG00000080986
POU3F2	ST8SIA1	162.639823754037	1	ENSG00000184486	ENSG00000111728
POU3F2	TRPC1	323.989977324177	1	ENSG00000184486	ENSG00000144935
CREB1	PDGFB	859.99011488919905	1	ENSG00000118260	ENSG00000100311
PLAGL1	SREBF1	168.463811101517	1	ENSG00000118495	ENSG00000072310
PLAGL1	NR1H2	135.941284449817	1	ENSG00000118495	ENSG00000131408
PLAGL1	FASN	292.16817683041	1	ENSG00000118495	ENSG00000169710
PLAGL1	LSS	77.204162408034207	1	ENSG00000118495	ENSG00000160285
PLAGL1	RXRA	292.64525699433	1	ENSG00000118495	ENSG00000186350
PLAGL1	IKBKG	363.17546281723901	1	ENSG00000118495	ENSG00000269335
PLAGL1	AMH	118.092738912591	1	ENSG00000118495	ENSG00000104899
PLAGL1	BAX	138.50961933394299	1	ENSG00000118495	ENSG00000087088
PLAGL1	CEBPD	170.557331143494	1	ENSG00000118495	ENSG00000221869
PLAGL1	ENG	22.347925822636398	1	ENSG00000118495	ENSG00000106991
PLAGL1	G6PD	330.19576376383299	1	ENSG00000118495	ENSG00000160211
PLAGL1	GAK	174.87718184625703	1	ENSG00000118495	ENSG00000178950
PLAGL1	GNAI2	21.9073864343191	1	ENSG00000118495	ENSG00000114353
PLAGL1	MMP9	50.2912310157446	1	ENSG00000118495	ENSG00000100985
PLAGL1	MTHFD2L	-119.168556122306	1	ENSG00000118495	ENSG00000163738
PLAGL1	PDK1	-16.324688618168302	1	ENSG00000118495	ENSG00000152256
PLAGL1	SPI1	124.24991369716001	1	ENSG00000118495	ENSG00000066336
PLAGL1	UBE2M	385.435172682283	1	ENSG00000118495	ENSG00000130725
PLAGL1	UNC93B1	391.93677835941298	1	ENSG00000118495	ENSG00000110057
FOXI1	NFKB2	392.42165857249398	1	ENSG00000168269	ENSG00000077150
FOXI1	AMACR	198.39713512587898	1	ENSG00000168269	ENSG00000242110
FOXI1	HLA-E	276.75347481422199	1	ENSG00000168269	ENSG00000204592
FOXI1	PADI2	-89.870486499825404	1	ENSG00000168269	ENSG00000117115
