regulator	target	beta.sign.sum	prior	ens_tf	ens_target
VSX1	WASH7P	0.10584597675081099	0	ENSG00000100987	ENSG00000227232
NR4A3	WASH7P	-0.045977137377172697	0	ENSG00000119508	ENSG00000227232
USF1	RP11-34P13.15	-0.022249134902064899	0	ENSG00000158773	ENSG00000268903
NR4A3	RP11-34P13.16	-0.095577696622313094	0	ENSG00000119508	ENSG00000269981
HIC2	RP11-34P13.16	0.0079330800042801911	0	ENSG00000169635	ENSG00000269981
ZNF350	RP11-34P13.13	-0.010985537836514601	0	ENSG00000256683	ENSG00000241860
ZNF143	AP006222.2	0.0238609154374343	0	ENSG00000166478	ENSG00000228463
CTCF	RP5-857K21.4	0.0055983738436257207	1	ENSG00000102974	ENSG00000230021
GSC	MTND1P23	-0.463816914327076	1	ENSG00000133937	ENSG00000225972
MITF	MTND2P28	0.025970541583996198	1	ENSG00000187098	ENSG00000225630
ZBTB18	MIR6723	0.067501605597649297	0	ENSG00000179456	ENSG00000237973
DMBX1	RP5-857K21.7	-0.036291991205213703	1	ENSG00000197587	ENSG00000229344
TEAD1	MTATP6P1	0.10233260169294199	1	ENSG00000187079	ENSG00000248527
BATF3	MTATP6P1	-0.063726550234180598	0	ENSG00000123685	ENSG00000248527
HINFP	MTATP6P1	-0.0072733705917632204	1	ENSG00000172273	ENSG00000248527
LHX6	RP5-857K21.11	0.17756770529233898	1	ENSG00000106852	ENSG00000198744
ZIC1	RP11-206L10.2	0.032282878144514499	1	ENSG00000152977	ENSG00000228327
YBX1	RP11-206L10.2	0.13453865192286901	1	ENSG00000065978	ENSG00000228327
CTCFL	RP11-206L10.2	0.0065339777607961499	1	ENSG00000124092	ENSG00000228327
NRF1	RP11-206L10.9	0.016391112268968201	1	ENSG00000106459	ENSG00000237491
NR6A1	LINC00115	0.033263355448495499	0	ENSG00000148200	ENSG00000225880
CTCF	RP11-54O7.1	0.033948453411535698	0	ENSG00000102974	ENSG00000230699
ZNF652	RP11-54O7.3	0.054081152435567499	0	ENSG00000198740	ENSG00000223764
RFX4	NOC2L	0.072343471531751094	0	ENSG00000111783	ENSG00000188976
NFYB	NOC2L	0.0092430471558144801	0	ENSG00000120837	ENSG00000188976
CEBPZ	NOC2L	0.036082720007177702	0	ENSG00000115816	ENSG00000188976
WT1	KLHL17	0.076189590281292796	0	ENSG00000184937	ENSG00000187961
NFYB	KLHL17	0.0281553797289254	0	ENSG00000120837	ENSG00000187961
NFYC	KLHL17	0.050567103753628703	0	ENSG00000066136	ENSG00000187961
ZNF143	KLHL17	0.039932893716825298	0	ENSG00000166478	ENSG00000187961
IRF7	PLEKHN1	0.038094150533603398	0	ENSG00000185507	ENSG00000187583
MLX	PLEKHN1	-0.041668139443141697	0	ENSG00000108788	ENSG00000187583
GFI1B	PLEKHN1	-0.027523572308174701	0	ENSG00000165702	ENSG00000187583
IRF7	PERM1	0.020349185676063399	0	ENSG00000185507	ENSG00000187642
MLX	PERM1	-0.0272101366934452	0	ENSG00000108788	ENSG00000187642
GFI1B	PERM1	-0.014564846100762901	0	ENSG00000165702	ENSG00000187642
IRF1	RP11-54O7.17	0.045634018243580397	0	ENSG00000125347	ENSG00000272512
IRF8	RP11-54O7.17	0.102174111702174	0	ENSG00000140968	ENSG00000272512
IRF2	RP11-54O7.17	0.044385119822648401	0	ENSG00000168310	ENSG00000272512
PURA	HES4	0.29575612219600106	1	ENSG00000185129	ENSG00000188290
THAP1	HES4	-0.12374832776723099	1	ENSG00000131931	ENSG00000188290
REL	HES4	0.029554621809022401	1	ENSG00000162924	ENSG00000188290
NFKB1	HES4	0.098594742169116595	1	ENSG00000109320	ENSG00000188290
IRF7	ISG15	0.14099364563267003	1	ENSG00000185507	ENSG00000187608
IRF9	ISG15	0.39550157556644699	1	ENSG00000213928	ENSG00000187608
IRF2	ISG15	0.47806903667464795	1	ENSG00000168310	ENSG00000187608
IRF3	ISG15	0.20706759623966001	1	ENSG00000126456	ENSG00000187608
IRF8	RP11-54O7.11	0.0150770579727096	1	ENSG00000140968	ENSG00000224969
PURA	AGRN	0.053040127135808399	1	ENSG00000185129	ENSG00000188157
ERG	AGRN	-0.048675621370841797	1	ENSG00000157554	ENSG00000188157
NHLH1	RP11-465B22.3	-0.0168248076687363	1	ENSG00000171786	ENSG00000217801
PAX6	RP11-465B22.3	0.0285479133252559	1	ENSG00000007372	ENSG00000217801
TFAP4	RP11-465B22.3	-0.26660103287897102	1	ENSG00000090447	ENSG00000217801
IKZF1	RP11-54O7.18	0.073052136833819697	0	ENSG00000185811	ENSG00000273443
FOSB	RNF223	0.061218436848603501	0	ENSG00000125740	ENSG00000237330
CTCF	C1orf159	0.026937571901814901	1	ENSG00000102974	ENSG00000131591
PLAG1	C1orf159	0.144101234935233	1	ENSG00000181690	ENSG00000131591
E2F1	TTLL10	-0.076262001786203404	0	ENSG00000101412	ENSG00000162571
GFI1B	TNFRSF18	-0.027240270478440201	0	ENSG00000165702	ENSG00000186891
REL	TNFRSF4	0.35148662509716799	0	ENSG00000162924	ENSG00000186827
RELA	TNFRSF4	0.0471639530087406	0	ENSG00000173039	ENSG00000186827
MSX2	TNFRSF4	-0.079748512988048095	0	ENSG00000120149	ENSG00000186827
NR5A1	SDF4	0.087543112360294995	1	ENSG00000136931	ENSG00000078808
HIF1A	B3GALT6	0.0601986422442796	1	ENSG00000100644	ENSG00000176022
SOX18	B3GALT6	-0.147569815805489	0	ENSG00000203883	ENSG00000176022
CXXC1	FAM132A	-0.019301652523508399	0	ENSG00000154832	ENSG00000184163
KLF12	UBE2J2	0.051507174554448601	1	ENSG00000118922	ENSG00000160087
ZNF423	RP5-902P8.10	0.0176443836292541	1	ENSG00000102935	ENSG00000230415
ZKSCAN1	SCNN1D	0.0173878226626204	0	ENSG00000106261	ENSG00000162572
WT1	ACAP3	0.074719793528896197	1	ENSG00000184937	ENSG00000131584
ZKSCAN1	ACAP3	0.0671913157380402	1	ENSG00000106261	ENSG00000131584
KLF16	ACAP3	0.079936148930119397	1	ENSG00000129911	ENSG00000131584
ZKSCAN1	PUSL1	0.026972342217385002	1	ENSG00000106261	ENSG00000169972
SP2	PUSL1	0.045287761901102799	1	ENSG00000167182	ENSG00000169972
KLF16	PUSL1	0.0261622971830602	1	ENSG00000129911	ENSG00000169972
KLF14	CPSF3L	0.062899365453807796	1	ENSG00000266265	ENSG00000127054
KLF12	CPSF3L	0.095988823445141896	1	ENSG00000118922	ENSG00000127054
KLF4	CPSF3L	0.0041244890099590998	1	ENSG00000136826	ENSG00000127054
KLF14	CPTP	0.0495372718776678	1	ENSG00000266265	ENSG00000224051
KLF12	CPTP	0.053908053520060499	1	ENSG00000118922	ENSG00000224051
KLF4	CPTP	0.070171024710827604	1	ENSG00000136826	ENSG00000224051
NFYC	CPTP	0.0499251031087505	1	ENSG00000066136	ENSG00000224051
SP1	AURKAIP1	0.024556178798924699	1	ENSG00000185591	ENSG00000175756
SP3	AURKAIP1	0.047730998049576999	1	ENSG00000172845	ENSG00000175756
ZIC1	CCNL2	0.0071206161246457501	1	ENSG00000152977	ENSG00000221978
PLAG1	CCNL2	0.0269781584456108	1	ENSG00000181690	ENSG00000221978
SP1	RP4-758J18.2	0.030771060739507701	1	ENSG00000185591	ENSG00000224870
KLF4	RP4-758J18.2	0.0215421255039361	1	ENSG00000136826	ENSG00000224870
SP3	RP4-758J18.2	0.017131915524072599	1	ENSG00000172845	ENSG00000224870
BACH1	MRPL20	0.081724073396257396	1	ENSG00000156273	ENSG00000242485
ETS2	MRPL20	0.048870457274402902	1	ENSG00000157557	ENSG00000242485
PAX4	RP4-758J18.10	0.065421533416576902	0	ENSG00000106331	ENSG00000225285
POU3F3	VWA1	0.054566392182284901	0	ENSG00000198914	ENSG00000179403
DLX4	VWA1	0.43879917549508007	0	ENSG00000108813	ENSG00000179403
KLF12	ATAD3B	0.067644611152849504	1	ENSG00000118922	ENSG00000160072
SP2	ATAD3A	0.029124093146193901	1	ENSG00000167182	ENSG00000197785
KLF16	ATAD3A	0.034008790433487902	1	ENSG00000129911	ENSG00000197785
EBF1	SSU72	0.0030150135839341501	1	ENSG00000164330	ENSG00000160075
PLAGL1	SSU72	0.0208930856412789	1	ENSG00000118495	ENSG00000160075
EGR2	RP11-345P4.9	0.035988393882840801	1	ENSG00000122877	ENSG00000272106
SP2	MIB2	0.0072446639934541706	1	ENSG00000167182	ENSG00000197530
KLF16	MIB2	0.049401977458921498	1	ENSG00000129911	ENSG00000197530
ESRRA	MIB2	0.043633220254176402	1	ENSG00000173153	ENSG00000197530
EGR1	MIB2	0.071724665795766099	1	ENSG00000120738	ENSG00000197530
HOXA10	CDK11B	-0.0486277399994932	1	ENSG00000253293	ENSG00000248333
MESP1	CDK11B	-0.020759827094410099	1	ENSG00000166823	ENSG00000248333
IRF1	SLC35E2B	-0.0069766851817059704	1	ENSG00000125347	ENSG00000189339
TCF12	SLC35E2B	0.0100007381824602	1	ENSG00000140262	ENSG00000189339
ZNF143	SLC35E2B	0.046026481209562299	1	ENSG00000166478	ENSG00000189339
ERF	CDK11A	-0.059484606934719401	1	ENSG00000105722	ENSG00000008128
MEOX2	CDK11A	-0.027374595502469502	1	ENSG00000106511	ENSG00000008128
TCF12	RP1-283E3.8	0.048920114740038399	1	ENSG00000140262	ENSG00000268575
ZNF143	RP1-283E3.8	0.0245804708522087	1	ENSG00000166478	ENSG00000268575
