regulator	target	beta.sign.sum	beta.non.zero	var.exp.median	combined_confidences	prior
RELB	NFKB1	20	20	0.697533708	0.999548634	1
RELA	NFKB1	20	20	0.530058736	0.999235574	1
RELA	NFKBIA	20	20	0.519207162	0.999213111	1
TERF2	CCL2	-20	20	0.381420302	0.998285183	0
ZNF263	NR2F2	19	19	0.805326337	0.94989574	1
NFKB1	NFKBIA	19	19	0.715093897	0.949809729	1
ZNF263	CGM3	19	19	0.824619703	0.949752138	nan
RELB	IRF1	19	19	0.551552465	0.949430314	0
IRF9	IRF1	19	19	0.535240352	0.949213183	0
STAT2	CCL5	19	19	0.430010332	0.948931434	1
CTCFL	IDOL_M	19	19	0.210373226	0.946517292	1
ZNF263	NR1I2	18	18	0.784463915	0.89991725	1
YY2	NCAM	-18	18	0.776632246	0.899454327	0
THAP1	RELB	18	18	0.487729942	0.899235658	1
STAT2	TNFSF10	18	18	0.623303572	0.899171196	1
RXRA	NR4A1	18	18	0.410630274	0.898884969	1
TP73	THRA	18	18	0.468278385	0.898871417	0
NFATC1	IRF3	-18	18	0.582113201	0.898744429	0
YBX1	INSIG1	18	18	0.296657828	0.897673722	1
GLI3	IL8RB	18	18	0.30191504	0.89762138	0
MZF1	MIR146A	18	18	0.241853019	0.897201694	1
SREBF1	PPARA	18	18	0.198985635	0.896562526	1
ZNF263	HNF4A	17	17	0.829439515	0.84997595	1
ZNF263	PLA2G2A	17	17	0.815514913	0.849958353	0
PLAGL1	ESRRA	17	17	0.784558118	0.849817327	0
STAT2	NT5C3	17	17	0.552923212	0.849494851	1
IRF7	MB21D1	17	17	0.561284947	0.849386876	0
THAP1	RELA	17	17	0.40789483	0.848943485	1
HOXB3	NFKB2	-17	17	0.395377882	0.848736119	0
IRF5	IRF2	17	17	0.353794731	0.848553657	1
NEUROD1	ZNF313	-17	17	0.242331756	0.847339367	1
STAT2	STAT1	16	16	0.623205632	0.799565077	1
PBX3	FASN	16	16	0.567854322	0.799539103	1
NR4A2	WHDC1	16	16	0.472456923	0.799274296	0
FOXA1	CD54	-16	16	0.451389176	0.799147346	0
STAT2	PHF15	16	16	0.399384907	0.799021176	1
EBF1	TMEM49	-16	16	0.381563469	0.798894764	1
GLI3	CD86	-16	16	0.383747166	0.798841144	1
IRF2	NAMPT	16	16	0.436786932	0.798769307	1
RXRA	NFKB2	16	16	0.328997842	0.798535235	1
IRF1	APOBEC3B	16	16	0.344383402	0.798480869	1
ZNF589	WHDC1	-16	16	0.31756263	0.798438112	1
EGR1	ADFP	16	16	0.198774652	0.797058309	1
ZNF219	IDOL_M	-16	16	0.127300516	0.796020781	1
YY2	NOS2A	-15	15	0.733656128	0.749836579	0
ZFY	NR1H4	-15	15	0.643413279	0.749519288	0
STAT2	IRF2	15	15	0.585275645	0.749484582	1
IRF2	INSR	-15	15	0.402298125	0.749092487	0
JUN	STAT5A	15	15	0.404559973	0.74898893	0
FOXO3	NR4A1	15	15	0.3758872	0.748856982	1
YBX1	JMJD3	15	15	0.374893137	0.748644514	1
RELA	JMJD3	15	15	0.371444704	0.748558599	1
RFX3	NR2C1	15	15	0.291686974	0.748498584	0
EGR1	HMGCR	-15	15	0.151324633	0.746774765	1
YBX1	ADFP	-15	15	0.136461467	0.746535314	0
MAX	LINCR	15	15	0.14626472	0.746407148	0
NFIX	NR1D2	-15	15	0.119206775	0.746098725	1
PLAGL1	LXRB	14	14	0.650599616	0.699820257	1
ZNF263	ESRRG	14	14	0.637378597	0.699749582	1
YY2	NR2F1	-14	14	0.643612024	0.699683046	0
NR4A2	REL	14	14	0.494688746	0.69943659	0
STAT2	KIAA0082	14	14	0.447680604	0.699317113	1
KLF13	SREBP1	14	14	0.421952042	0.699251201	0
CTCF	C5orf27	14	14	0.436665206	0.699179106	1
STAT2	PLA2G4C	14	14	0.277510571	0.698383994	1
STAT2	PRKCE	14	14	0.232835964	0.698354758	1
HIC2	SREBP2	14	14	0.281100537	0.698231081	1
MYC	BLR1	14	14	0.23973608	0.698073877	1
ELF1	RORB	-14	14	0.215312422	0.697780673	1
EGR1	INSIG1	-14	14	0.204849681	0.697521769	1
E2F6	ZNF313	14	14	0.157760191	0.697350259	1
GLI1	NKAP	14	14	0.153251801	0.697186324	1
ZBTB33	CREBB	-14	14	0.127939867	0.696544697	0
ZNF263	Osterix	13	13	0.755986727	0.649939513	1
STAT2	MYD88	13	13	0.398509123	0.649410481	0
PLAGL1	NR3C2	-13	13	0.410187739	0.649394948	0
MAFG	IRF4	-13	13	0.514318414	0.649336802	0
EBF1	SCAP	13	13	0.369894023	0.649301265	0
STAT2	IRF9	13	13	0.342074979	0.649186379	1
MAFG	CCL18aa	13	13	0.423172973	0.649085923	0
PBX3	THOC4	13	13	0.371166089	0.64905552	1
IRF7	STAT2	13	13	0.304347174	0.649052374	0
JUN	AXUD1	13	13	0.300913179	0.6489498	1
YY1	LXRA	-13	13	0.350055031	0.648781195	1
SMARCC2	JMJD3	-13	13	0.266686494	0.648736615	1
NFKB1	CCL5	13	13	0.234104693	0.648546591	1
ATF3	VDR	-13	13	0.277999136	0.648480546	0
TCF12	ESR1	13	13	0.199823099	0.648406069	1
BRCA1	ABCA1	-13	13	0.272784741	0.648301229	1
TP73	PLCG1	13	13	0.216624322	0.648212218	1
ESR1	PCTK2	-13	13	0.202062119	0.648069158	1
MAX	CSDA	-13	13	0.128693253	0.647001378	1
ZNF263	ESR2	12	12	0.498326717	0.599789943	1
ZNF263	AR	12	12	0.377365235	0.599600774	1
STAT2	STAT3	12	12	0.428483281	0.599485369	0
PLAGL1	SCAP	12	12	0.407577625	0.599460644	0
TEF	PPARG	12	12	0.384164185	0.599326759	0
IRF7	DNAPTP6	12	12	0.379834738	0.599296919	1
IRF9	AXUD1	12	12	0.362477456	0.599231386	1
YY2	pIgR	-12	12	0.276505017	0.599229073	0
