regulator	target	beta.sign.sum	prior	ens_tf	ens_target
ETS1	DEFB1	-851.779364	1	ENSG00000134954	ENSG00000164825
HOXA5	CSF3	188.9741961	1	ENSG00000106004	ENSG00000108342
PPARD	GCLC	427.4573025	1	ENSG00000112033	ENSG00000001084
PPARD	HEG1	362.0656327	1	ENSG00000112033	ENSG00000173706
PPARD	NAPA	411.9942913	1	ENSG00000112033	ENSG00000105402
PPARD	PNPT1	273.0408388	1	ENSG00000112033	ENSG00000138035
PPARD	RPL22	-271.4800979	1	ENSG00000112033	ENSG00000116251
PPARD	SAMD4A	592.7397981	1	ENSG00000112033	ENSG00000020577
PPARD	SECTM1	461.7604847	1	ENSG00000112033	ENSG00000141574
PPARD	TMEM140	388.4621841	0	ENSG00000112033	ENSG00000146859
PPARD	TRIM14	197.6332274	1	ENSG00000112033	ENSG00000106785
NFIB	GTPBP2	89.52071442	1	ENSG00000147862	ENSG00000172432
NFIB	REV3L	-75.91901329	1	ENSG00000147862	ENSG00000009413
NFIB	SLC3A2	87.1830831	1	ENSG00000147862	ENSG00000168003
NFIB	SOD1	-169.8824417	1	ENSG00000147862	ENSG00000142168
KLF15	LTB	-922.5437251	1	ENSG00000163884	ENSG00000227507
THRA	GMPR	-763.5241634	1	ENSG00000126351	ENSG00000137198
FEV	ETV6	125.2695567	1	ENSG00000163497	ENSG00000139083
FEV	HMGN1	57.92486754	1	ENSG00000163497	ENSG00000205581
CREB3L1	C4BPA	543.4902996	1	ENSG00000157613	ENSG00000123838
POU2F1	ABCG8	160.1433061	1	ENSG00000143190	ENSG00000143921
POU2F1	AICDA	95.02841369	1	ENSG00000143190	ENSG00000111732
HEY1	HMGN1	49.49890808	1	ENSG00000164683	ENSG00000205581
MAFA	GCLC	190.8635676	1	ENSG00000182759	ENSG00000001084
SP5	IRF6	-25.60730743	1	ENSG00000204335	ENSG00000117595
SP5	NR2E1	-92.51979809	1	ENSG00000204335	ENSG00000112333
SP5	NR2F2	-124.285789	1	ENSG00000204335	ENSG00000185551
SP5	ESR2	-127.4832975	1	ENSG00000204335	ENSG00000140009
SP5	ESRRG	-30.08298025	1	ENSG00000204335	ENSG00000196482
SP5	NR5A1	-48.52175339	1	ENSG00000204335	ENSG00000136931
SP5	ABLIM3	-75.71419988	1	ENSG00000204335	ENSG00000173210
SP5	AGT	-70.60245396	1	ENSG00000204335	ENSG00000135744
SP5	AQP4	-225.2497	1	ENSG00000204335	ENSG00000171885
SP5	BMP4	-111.9775044	1	ENSG00000204335	ENSG00000125378
SP5	COL1A2	-163.0648435	1	ENSG00000204335	ENSG00000164692
SP5	CR2	-55.14002869	1	ENSG00000204335	ENSG00000117322
SP5	CRP	-75.82355532	0	ENSG00000204335	ENSG00000132693
SP5	CTCFL	-48.05246069	1	ENSG00000204335	ENSG00000124092
SP5	CYP2E1	-18.62810339	1	ENSG00000204335	ENSG00000130649
SP5	ENPP1	-27.80548389	1	ENSG00000204335	ENSG00000197594
SP5	FGF8	-18.46446839	1	ENSG00000204335	ENSG00000107831
SP5	GRIN2A	-68.83599942	1	ENSG00000204335	ENSG00000183454
SP5	KRT3	-80.02204185	1	ENSG00000204335	ENSG00000186442
SP5	PTGIS	-103.9224376	1	ENSG00000204335	ENSG00000124212
SP5	PTHLH	-37.9421063	1	ENSG00000204335	ENSG00000087494
SP5	SELE	-32.03996209	0	ENSG00000204335	ENSG00000007908
SP5	SERPINE2	-81.23001301	1	ENSG00000204335	ENSG00000135919
SP5	SOX9	-40.55683687	1	ENSG00000204335	ENSG00000125398
SP5	TERT	-36.61100871	1	ENSG00000204335	ENSG00000164362
SP5	UPP2	-112.7860242	1	ENSG00000204335	ENSG00000007001
SP5	WT1	-48.46060785	1	ENSG00000204335	ENSG00000184937
CTCF	PLA2G2A	31.49707931	0	ENSG00000102974	ENSG00000188257
CTCF	IRF6	45.40789294	1	ENSG00000102974	ENSG00000117595
CTCF	RORC	50.51111262	1	ENSG00000102974	ENSG00000143365
CTCF	NR1H4	15.39711326	0	ENSG00000102974	ENSG00000012504
CTCF	NR1I2	46.22580428	1	ENSG00000102974	ENSG00000144852
CTCF	HNF4A	117.0401163	1	ENSG00000102974	ENSG00000101076
CTCF	NR2E1	62.18554139	1	ENSG00000102974	ENSG00000112333
CTCF	NR2E3	59.98886026	1	ENSG00000102974	ENSG00000278570
CTCF	NR2F2	18.79513483	1	ENSG00000102974	ENSG00000185551
CTCF	ESR2	50.04932594	1	ENSG00000102974	ENSG00000140009
CTCF	ESRRG	24.30428884	1	ENSG00000102974	ENSG00000196482
CTCF	PGR	41.98185082	1	ENSG00000102974	ENSG00000082175
CTCF	NR5A1	17.52505127	1	ENSG00000102974	ENSG00000136931
CTCF	ABCG8	220.0958354	1	ENSG00000102974	ENSG00000143921
CTCF	ABLIM3	12.05850256	1	ENSG00000102974	ENSG00000173210
CTCF	AFP	27.36714725	0	ENSG00000102974	ENSG00000081051
CTCF	AICDA	39.18245588	1	ENSG00000102974	ENSG00000111732
CTCF	BDKRB1	32.45623807	1	ENSG00000102974	ENSG00000100739
CTCF	BDNF	89.73067536	1	ENSG00000102974	ENSG00000176697
CTCF	BGN	29.71316847	1	ENSG00000102974	ENSG00000182492
CTCF	BMP4	47.87574355	1	ENSG00000102974	ENSG00000125378
CTCF	CALCB	35.73027257	1	ENSG00000102974	ENSG00000175868
CTCF	CCL15	91.71220169	1	ENSG00000102974	ENSG00000275718
CTCF	COL1A2	39.67381749	1	ENSG00000102974	ENSG00000164692
CTCF	CR2	157.8485394	1	ENSG00000102974	ENSG00000117322
CTCF	CRP	35.10299417	0	ENSG00000102974	ENSG00000132693
CTCF	CSF3	33.95827781	1	ENSG00000102974	ENSG00000108342
CTCF	CTCFL	19.51990594	1	ENSG00000102974	ENSG00000124092
CTCF	CYP19A1	9.161006594	1	ENSG00000102974	ENSG00000137869
CTCF	DIO2	11.0477768	0	ENSG00000102974	ENSG00000211448
CTCF	DMP1	21.25162518	0	ENSG00000102974	ENSG00000152592
CTCF	EGFR	75.18482507	1	ENSG00000102974	ENSG00000146648
CTCF	ELF3	39.27318513	1	ENSG00000102974	ENSG00000163435
CTCF	ENPP1	53.59847452	1	ENSG00000102974	ENSG00000197594
CTCF	EPO	36.85533717	1	ENSG00000102974	ENSG00000130427
CTCF	FABP6	65.70197224	1	ENSG00000102974	ENSG00000170231
CTCF	FGF8	11.51707794	1	ENSG00000102974	ENSG00000107831
CTCF	FNDC4	22.76712884	1	ENSG00000102974	ENSG00000115226
CTCF	GJB1	45.07240109	1	ENSG00000102974	ENSG00000169562
CTCF	GRIN2A	80.27539869	1	ENSG00000102974	ENSG00000183454
CTCF	GRM2	26.62389354	1	ENSG00000102974	ENSG00000164082
CTCF	GUCY1A2	35.08027068	1	ENSG00000102974	ENSG00000152402
CTCF	HBE1	427.0255012	1	ENSG00000102974	ENSG00000213931
CTCF	HOXA9	16.48653514	1	ENSG00000102974	ENSG00000078399
CTCF	IL11	20.43890885	1	ENSG00000102974	ENSG00000095752
CTCF	KCNN2	64.13541986	1	ENSG00000102974	ENSG00000080709
CTCF	KLK3	82.08303833	1	ENSG00000102974	ENSG00000142515
CTCF	KRT15	72.37446369	1	ENSG00000102974	ENSG00000171346
CTCF	KRT3	72.41921878	1	ENSG00000102974	ENSG00000186442
CTCF	LBP	25.83044922	1	ENSG00000102974	ENSG00000129988
CTCF	LTF	47.38103277	1	ENSG00000102974	ENSG00000012223
CTCF	MT3	18.70388964	1	ENSG00000102974	ENSG00000087250
CTCF	MUC2	28.4919803	1	ENSG00000102974	ENSG00000198788
CTCF	NOS1	34.42465774	1	ENSG00000102974	ENSG00000089250
CTCF	NPY1R	83.46691285	1	ENSG00000102974	ENSG00000164128
CTCF	PENK	74.15546499	1	ENSG00000102974	ENSG00000181195
CTCF	PGLYRP1	12.87726265	1	ENSG00000102974	ENSG00000008438
CTCF	PIGR	123.8200653	1	ENSG00000102974	ENSG00000162896
CTCF	PTGIS	117.4252443	1	ENSG00000102974	ENSG00000124212
CTCF	PTHLH	73.61170731	1	ENSG00000102974	ENSG00000087494
